Date,Price
6/28/2019,1614.82
7/1/2019,1617.71
7/2/2019,1623.86
7/3/2019,1627.15
7/4/2019,1635.82
7/5/2019,1635.26
7/8/2019,1636.26
7/9/2019,1634.89
7/10/2019,1635.75
7/11/2019,1643.32
7/12/2019,1648.92
7/15/2019,1649.41
7/16/2019,1640.22
7/17/2019,1632.36
7/18/2019,1633.78
7/19/2019,1629.15
7/22/2019,1639
7/23/2019,1631.48
7/24/2019,1621
7/25/2019,1630.51
7/26/2019,1632
7/29/2019,1630.82
7/30/2019,1634.1
7/31/2019,1626.91
8/1/2019,1619.48
8/2/2019,1625.53
8/5/2019,1630.47
8/6/2019,1614.62
8/7/2019,1612.88
8/8/2019,1608
8/9/2019,1614.57
8/12/2019,1619.57
8/13/2019,1618.39
8/14/2019,1618.29
8/15/2019,1612.2
8/16/2019,1604.94
8/19/2019,1593.96
8/20/2019,1590.9
8/21/2019,1589.15
8/22/2019,1585.66
8/23/2019,1595.02
8/26/2019,1593.98
8/27/2019,1590.43
8/28/2019,1596.29
8/29/2019,1577.16
8/30/2019,1583.32
9/2/2019,1577.17
9/3/2019,1567.85
9/4/2019,1564.43
9/5/2019,1562.13
9/6/2019,1546.54
9/9/2019,1525.46
9/10/2019,1540.43
9/11/2019,1542.29
9/12/2019,1534.52
9/13/2019,1539.27
9/16/2019,1541.93
9/17/2019,1545.18
9/18/2019,1539.99
9/19/2019,1547.62
9/20/2019,1549.35
9/23/2019,1554.04
9/24/2019,1552.04
9/25/2019,1559.7
9/26/2019,1565.48
9/27/2019,1560.09
9/30/2019,1559.53
10/1/2019,1555.94
10/2/2019,1557.25
10/3/2019,1559.05
10/4/2019,1558.5
10/7/2019,1554.88
10/8/2019,1533.26
10/10/2019,1531.06
10/11/2019,1531.79
10/14/2019,1539.05
10/15/2019,1540.3
10/16/2019,1539.71
10/17/2019,1538.79
10/18/2019,1562.75
10/21/2019,1566.2
10/22/2019,1566.72
10/23/2019,1582.05
10/24/2019,1592.55
10/25/2019,1611.43
10/28/2019,1622.89
10/29/2019,1619.46
10/30/2019,1626.78
10/31/2019,1688.22
11/1/2019,1749.5
11/4/2019,1821.08
11/5/2019,1784.42
11/6/2019,1760.99
11/7/2019,1817.33
11/8/2019,1798.5
11/11/2019,1764.22
11/12/2019,1766.07
11/13/2019,1757.23
11/14/2019,1741.35
11/15/2019,1735.23
11/18/2019,1750.05
11/19/2019,1776.57
11/20/2019,1760.54
11/21/2019,1761.92
11/22/2019,1762.64
11/25/2019,1758.15
11/26/2019,1746.91
11/27/2019,1731.11
11/28/2019,1733.3
11/29/2019,1751.34
12/2/2019,1757.29
12/3/2019,1751.45
12/4/2019,1758
12/5/2019,1778.04
12/6/2019,1787.15
12/9/2019,1788.09
12/10/2019,1774.62
12/11/2019,1767.86
12/12/2019,1763.37
12/13/2019,1763.59
12/16/2019,1765.16
12/17/2019,1758.62
12/18/2019,1769.97
12/19/2019,1784.91
12/20/2019,1794.54
12/23/2019,1800.32
12/24/2019,1794.63
12/27/2019,1798.37
12/30/2019,1791.85
12/31/2019,1800.72
1/2/2020,1818.76
1/3/2020,1830.21
1/6/2020,1850.61
1/7/2020,1844.08
1/8/2020,1827.53
1/9/2020,1836.79
1/10/2020,1844.36
1/13/2020,1850.21
1/14/2020,1849.35
1/15/2020,1822.96
1/16/2020,1810.12
1/17/2020,1809.49
1/20/2020,1813.08
1/21/2020,1818.39
1/22/2020,1811.39
1/23/2020,1811.49
1/24/2020,1820.26
1/27/2020,1827.31
1/28/2020,1822.35
1/29/2020,1822.12
1/30/2020,1820.21
1/31/2020,1821.86
2/3/2020,1819.41
2/4/2020,1813.07
2/5/2020,1819.21
2/6/2020,1853
2/7/2020,1861.26
2/10/2020,1837.71
2/11/2020,1827.57
2/12/2020,1829.02
2/13/2020,1817.88
2/14/2020,1809.81
2/17/2020,1806.19
2/18/2020,1791.09
2/19/2020,1784.59
2/20/2020,1775.36
2/21/2020,1766.78
2/24/2020,1761.41
2/25/2020,1754.22
2/26/2020,1730.75
2/27/2020,1724.47
2/28/2020,1712.67
3/2/2020,1655.28
3/3/2020,1652.57
3/4/2020,1691.3
3/5/2020,1716.06
3/6/2020,1742.29
3/10/2020,1657.07
3/11/2020,1675.37
3/12/2020,1689.48
3/13/2020,1633.13
3/16/2020,1546.26
3/17/2020,1499.78
3/18/2020,1492.35
3/19/2020,1492.29
3/20/2020,1456.65
3/24/2020,1375.59
3/25/2020,1295.68
3/26/2020,1315.36
3/27/2020,1317.56
3/30/2020,1290.21
3/31/2020,1305.34
4/1/2020,1329.65
4/2/2020,1320.58
4/3/2020,1310.08
4/6/2020,1319.23
4/7/2020,1320.93
4/8/2020,1293.94
4/9/2020,1302.19
4/14/2020,1288.88
4/15/2020,1305.36
4/16/2020,1300.08
4/17/2020,1295
